CarpalSyyru,Fox,1000.0,0
SFmed,Marth,1000.0,0
Cain Faceroll,Luigi,1000.0,0
BanaKing,Falcon,1000.0,0
Plx$,Doc,1000.0,0
aomed,Fox,1000.0,0
Swedi siko,Marth,1000.0,0
nihh Delight,Luigi,1000.0,0
Captainxe,Falcon,1000.0,0
Za2King,Doc,1000.0,0
Jiggly0ne,Fox,1000.0,0
DontTeage,Marth,1000.0,0
Mart0ne,Luigi,1000.0,0
Marobe,Falcon,1000.0,0
Manax$,Doc,1000.0,0
I am nottacho,Fox,1000.0,0
4ParralelUnivPewU,Marth,1000.0,0
ner,Luigi,1000.0,0
DontTesuo,Falcon,1000.0,0
LstMe,Doc,1000.0,0
mantBoi,Fox,1000.0,0
MaroLuigi,Marth,1000.0,0
Fictw2King,Luigi,1000.0,0
Kaif,Falcon,1000.0,0
CarpaMY,Doc,1000.0,0
Banafen,Fox,1000.0,0
niyru,Marth,1000.0,0
Sceroll,Luigi,1000.0,0
20XX,Fox,1000.0,0
