El ction,Luigi,1000.0,0
SheikrsesAheadOfU,Fox,1000.0,0
DonFaceroll,Falcon,1000.0,0
iDrio,Doc,1000.0,0
Pxe,Marth,1000.0,0
Syango,Luigi,1000.0,0
SheikIsJH,Fox,1000.0,0
IIikIsTrap,Falcon,1000.0,0
MarhuDat,Doc,1000.0,0
nrk siko,Marth,1000.0,0
Axango,Luigi,1000.0,0
BaoD,Fox,1000.0,0
Mto-SD,Falcon,1000.0,0
El MouJH,Doc,1000.0,0
Swedish Dage,Marth,1000.0,0
MartBW,Luigi,1000.0,0
Ch Delight,Fox,1000.0,0
Shrozzrobe,Falcon,1000.0,0
I2King,Doc,1000.0,0
MaNose,Marth,1000.0,0
I am nott kIsTrap,Luigi,1000.0,0
Hungnas,Fox,1000.0,0
Gingges,Falcon,1000.0,0
Leffoky,Doc,1000.0,0
Dontngo,Marth,1000.0,0
Sage,Luigi,1000.0,0
Plge,Fox,1000.0,0
Hungchim,Falcon,1000.0,0
20XX,Fox,1000.0,0
